Time (s),Set Temperature (°C),Current Temperature (°C), Proportional, Integral, Derivative, Output Current (A)
182.6630401611328,60.0,60.66299638086424,-1.325992761728486,51.26196055049451,-0.004444553759643242,499.3152323500638
183.67239356040955,60.0,60.73137518625091,-1.4627503725018158,51.18882303186942,-0.008889244700266447,497.1718341466734
184.75420808792114,60.0,60.79975539869356,-1.5995107973871256,51.108847492000066,-0.008889427617545138,495.00447266995394
185.95769810676575,60.0,60.79975539869356,-1.5995107973871256,51.028871952130714,0.0,494.2936115474359
186.97564220428467,60.0,60.8339460325881,-1.6678920651762041,50.9454773488719,-0.004444782406290102,492.731405012894
187.98158049583435,60.0,60.86813701827931,-1.7362740365586262,50.85866364704397,-0.004444828139857435,491.17944782345484
189.14987874031067,60.0,60.9023283557777,-1.8046567115553955,50.7684308114662,-0.004444873874790005,489.59329226036016
190.1793053150177,60.0,60.936520045094525,-1.8730400901890505,50.674778806956745,-0.004444919611187572,487.97293797156505
191.32930541038513,60.0,60.97071208624069,-1.9414241724813763,50.57770759833268,-0.00444496534900118,486.318384605023
192.37334322929382,60.0,61.00490447922669,-2.0098089584533767,50.47721715041001,-0.0044450110881800245,484.62963180868456
193.38765907287598,60.0,61.0390972240638,-2.0781944481276042,50.37330742800363,-0.004445056828824789,482.9066792304719
194.40640330314636,60.0,61.00490447922669,-2.0098089584533767,50.27281698008096,0.004445056828824789,482.6745307845641
195.4314742088318,60.0,61.00490447922669,-2.0098089584533767,50.17232653215829,0.0,481.6251757370491
196.55941534042358,60.0,61.0390972240638,-2.0781944481276042,50.06841680975191,-0.004445056828824789,479.85777304795477
197.57839560508728,60.0,61.07329032076216,-2.1465806415243236,49.96108777767569,-0.004445102570786758,478.1006203358058
198.60853266716003,60.0,61.07329032076216,-2.1465806415243236,49.85375874559947,0.0,477.0717810407515
199.63976049423218,60.0,61.10748376933379,-2.2149675386675796,49.74301036866609,-0.004445148314311638,475.235976816842
200.7167866230011,60.0,61.10748376933379,-2.2149675386675796,49.63226199173272,0.0,474.1729445306514
201.83443665504456,60.0,61.07329032076216,-2.1465806415243236,49.524932959656496,0.004445148314311638,473.8279746644648
202.85740661621094,60.0,61.10748376933379,-2.2149675386675796,49.414184582723124,-0.004445148314311638,471.94771895741235
203.90308952331543,60.0,61.10748376933379,-2.2149675386675796,49.303436205789744,0.0,470.88468667122163
204.9163360595703,60.0,61.10748376933379,-2.2149675386675796,49.192687828856364,0.0,469.77720290188785
205.9343581199646,60.0,61.141677569788435,-2.2833551395768694,49.07852007187752,-0.004445194059103841,467.90719738241546
207.22930002212524,60.0,61.10748376933379,-2.2149675386675796,48.96777169494414,0.004445194059103841,467.5724935033566
208.24682998657227,60.0,61.141677569788435,-2.2833551395768694,48.853603937965296,-0.004445194059103841,465.65803604329324
209.24586486816406,60.0,61.141677569788435,-2.2833551395768694,48.73943618098645,0.0,464.56081041409584
210.23686122894287,60.0,61.141677569788435,-2.2833551395768694,48.62526842400761,0.0,463.4191328443074
211.25451564788818,60.0,61.141677569788435,-2.2833551395768694,48.511100667028764,0.0,462.27745527451896
212.32547211647034,60.0,61.141677569788435,-2.2833551395768694,48.39693291004992,0.0,461.1357777047305
